city,state,latitude,longitude
New York,New York,40.7128,-74.0060
Los Angeles,California,34.0522,-118.2437
Chicago,Illinois,41.8781,-87.6298
Houston,Texas,29.7604,-95.3698
Phoenix,Arizona,33.4484,-112.0740
Philadelphia,Pennsylvania,39.9526,-75.1652
San Antonio,Texas,29.4241,-98.4936
San Diego,California,32.7157,-117.1611
Dallas,Texas,32.7767,-96.7970
San Jose,California,37.3382,-121.8863
Austin,Texas,30.2672,-97.7431
Jacksonville,Florida,30.3322,-81.6557
Fort Worth,Texas,32.7555,-97.3308
Columbus,Ohio,39.9612,-82.9988
Indianapolis,Indiana,39.7684,-86.1581
Charlotte,North Carolina,35.2271,-80.8431
San Francisco,California,37.7749,-122.4194
Seattle,Washington,47.6062,-122.3321
Denver,Colorado,39.7392,-104.9903
Washington,District of Columbia,38.9072,-77.0369
Nashville,Tennessee,36.1627,-86.7816
Oklahoma City,Oklahoma,35.4676,-97.5164
El Paso,Texas,31.7619,-106.4850
Boston,Massachusetts,42.3601,-71.0589
Portland,Oregon,45.5152,-122.6784
Las Vegas,Nevada,36.1699,-115.1398
Detroit,Michigan,42.3314,-83.0458
Memphis,Tennessee,35.1495,-90.0490
Louisville,Kentucky,38.2527,-85.7585
Baltimore,Maryland,39.2904,-76.6122
Milwaukee,Wisconsin,43.0389,-87.9065
Albuquerque,New Mexico,35.0844,-106.6504
Tucson,Arizona,32.2226,-110.9747
Fresno,California,36.7378,-119.7871
Sacramento,California,38.5816,-121.4944
Mesa,Arizona,33.4152,-111.8315
Atlanta,Georgia,33.7490,-84.3880
Kansas City,Missouri,39.0997,-94.5786
Colorado Springs,Colorado,38.8339,-104.8214
Omaha,Nebraska,41.2565,-95.9345
Raleigh,North Carolina,35.7796,-78.6382
Miami,Florida,25.7617,-80.1918
Long Beach,California,33.7701,-118.1937
Virginia Beach,Virginia,36.8529,-75.9780
Oakland,California,37.8044,-122.2712
Minneapolis,Minnesota,44.9778,-93.2650
Tampa,Florida,27.9506,-82.4572
Tulsa,Oklahoma,36.1540,-95.9928
Arlington,Texas,32.7357,-97.1081
Bakersfield,California,35.3733,-119.0187
Wichita,Kansas,37.6872,-97.3301
Aurora,Colorado,39.7294,-104.8319
New Orleans,Louisiana,29.9511,-90.0715
Cleveland,Ohio,41.4993,-81.6944
Anaheim,California,33.8366,-117.9143
Honolulu,Hawaii,21.3069,-157.8583
Henderson,Nevada,36.0395,-115.0633
Lexington,Kentucky,38.0406,-84.5037
Corpus Christi,Texas,27.8006,-97.3964
Riverside,California,33.9806,-117.3755
Santa Ana,California,33.7455,-117.8677
Orlando,Florida,28.5383,-81.3792
Irvine,California,33.6846,-117.8265
Cincinnati,Ohio,39.1031,-84.5120
Newark,New Jersey,40.7357,-74.1724
St. Paul,Minnesota,44.9537,-93.0900
Pittsburgh,Pennsylvania,40.4406,-79.9959
Greensboro,North Carolina,36.0726,-79.7920
St. Louis,Missouri,38.6270,-90.1994
Lincoln,Nebraska,40.8136,-96.7026
Anchorage,Alaska,61.2181,-149.9003
Plano,Texas,33.0198,-96.6989
Durham,North Carolina,35.9940,-78.8986
Jersey City,New Jersey,40.7282,-74.0776
Chandler,Arizona,33.3062,-111.8413
Chula Vista,California,32.6401,-117.0842
Buffalo,New York,42.8864,-78.8784
North Las Vegas,Nevada,36.1989,-115.1175
Gilbert,Arizona,33.3528,-111.7890
Madison,Wisconsin,43.0731,-89.4012
Reno,Nevada,39.5296,-119.8138
Toledo,Ohio,41.6528,-83.5379
Fort Wayne,Indiana,41.0793,-85.1394
Lubbock,Texas,33.5779,-101.8552
St. Petersburg,Florida,27.7676,-82.6403
Laredo,Texas,27.5306,-99.4803
Irving,Texas,32.8140,-96.9489
Chesapeake,Virginia,36.7682,-76.2875
Winston-Salem,North Carolina,36.0999,-80.2442
Scottsdale,Arizona,33.4942,-111.9261
Boise,Idaho,43.6150,-116.2023
Fremont,California,37.5485,-121.9886
Garland,Texas,32.9126,-96.6389
Richmond,Virginia,37.5407,-77.4360
Spokane,Washington,47.6588,-117.4260
Santa Clarita,California,34.3917,-118.5426
Hialeah,Florida,25.8576,-80.2781
San Bernardino,California,34.1083,-117.2898
